text,correct_class,reason
"Для того чтобы это уравнение выполнялось, и действительная,",NarrativeText,"Обычное научное повествование на русском языке, должно быть классифицировано как NarrativeText"
"Казалось бы, данное уравнение имеет бесконечно много кор-",NarrativeText,"Продолжение научного текста - обычные слова, а не формула"
Если вспомнить геометрическое представление мнимых чи-,NarrativeText,"Продолжение научного описания на русском языке, должно быть классифицировано как NarrativeText"
"exp(3πi/5) exp(πi/5) − 1 0 exp(9πi/5) exp(7πi/5) ны 0: cos(nϕ) = − sin(nϕ) = 0. 1, ( nϕ = π(2k+1), ϕ = 2k+1 n π, k ∈ Z.",Formula (math),"Содержит математические выражения: exp(3πi/5), cos(nϕ), sin(nϕ), x5 +1= 0. Это формулы математики, а не описание рисунка"
z = x + iy,Formula (math),Комплексное число
e^{i\pi} + 1 = 0,Formula (math),Формула Эйлера
cos(\theta) + i\sin(\theta),Formula (math),Тригонометрическая форма
\frac{d^2y}{dx^2} + p(x)\frac{dy}{dx} + q(x)y = f(x),Formula (math),Дифференциальное уравнение
\sum_{n=1}^{\infty} \frac{1}{n^2} = \frac{\pi^2}{6},Formula (math),Ряд
\begin{pmatrix} a & b \\ c & d \end{pmatrix},Formula (math),Матрица
f(z) = \oint_C \frac{f(\xi)}{\xi - z} d\xi,Formula (math),Интеграл
2ZnS + 3O_2 \rightarrow 2ZnO + 2SO_2,Formula (chemistry),Реакция обжига сульфидов
Fe_2O_3 + 3CO \rightarrow 2Fe + 3CO_2,Formula (chemistry),Восстановление железа (доменный процесс)
CaCO_3 \rightarrow CaO + CO_2,Formula (chemistry),Разложение известняка
2[P] + 5(FeO) + 4(CaO) \rightarrow (Ca_4P_2O_9) + 5[Fe],Formula (chemistry),Дефосфорация
[S] + (CaO) \rightarrow (CaS) + [O],Formula (chemistry),Десульфурация стали
Cu^{2+} + 2e^- \rightarrow Cu,Formula (chemistry),Электролиз меди
2Al_2O_3 + 3C \rightarrow 4Al + 3CO_2,Formula (chemistry),Электролиз алюминия
v = k[A]^m[B]^n,Formula (chemistry),Кинетика химических реакций
= 1+2i+i2,Formula (math),"Это математическое выражение с комплексными числами, не содержит физических переменных или констант"
=i.,Formula (math),"Мнимое число i — это математический объект, а не физическая формула"
i)(1+i),Formula (math),"Математическое выражение с комплексными числами, относится к математике"
(1,Formula (math),"Часть математического выражения, относится к математике"
1),Formula (math),"Часть математического выражения, относится к математике"
i,Formula (math),"Обозначение мнимого единицы - математический символ, а не физическая формула"
(,Formula (math),"Математический символ-скобка, относится к математике"
−,Formula (math),"Математический знак вычитания, относится к математике"
−,Formula (math),"Математический знак вычитания, относится к математике"
−,Formula (math),"Математический знак вычитания, относится к математике"
−,Formula (math),"Математический знак вычитания, относится к математике"
eix = cosx+isinx.,Formula (math),"Формула Эйлера - чистая математическая формула, не содержит физических переменных"
cos(nϕ)+1+isin(nϕ) = 0.,Formula (math),"Тригонометрическая формула с комплексными числами, относится к математике, а не к физике"
"Для того чтобы это уравнение выполнялось, и действительная,",NarrativeText,"Это нарративный текст на русском языке, описывающий условия уравнения"
"Казалось бы, данное уравнение имеет бесконечно много кор-",NarrativeText,"Это нарративный текст на русском языке, содержащий рассуждения о количестве корней"
Если вспомнить геометрическое представление мнимых чи-,NarrativeText,"Это нарративный текст на русском языке, начинающийся со слов 'Если вспомнить...'"
